StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Verify,QID1_1,QID1_2,QID1_3,QID1_4,QID1_5,Programming Skills_1,Programming Skills_2,Programming Skills_3,Python_1,Python_2,Python_3,Values_1,Values_2,Values_3,SJ & Community_1,Q28,SJ & Community,Community_1,Community_2,Community_3,TA_1,TA_2,TA_3,TA_4,Goals,Career Opportunities_1,Career Opportunities_2,Career Opportunities_3,Q30,Gee_1,Gee_2,Gee_3,McAlpine_1,McAlpine_2,McAlpine_3,McAlpine_4,McAlpine_5,Crenshaw,Crenshaw,Crenshaw,Any last thoughts?_1,Any last thoughts?_2,Why recommend,Open,SC0,Goals - Parent Topics,Goals - Topics,Verify - Parent Topics,Verify - Topics
2022-08-08 13:24:56,2022-08-08 13:46:58,IP Address,24.4.195.153,100,1322,True,2022-08-08 13:46:59,R_yDWJ3LJh6AvYSgV,,,,,37.7045,-122.0742,anonymous,EN,HH57,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Sometimes,Very often,Very confident,Very confident,Very confident,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,"Technology can bring people together that wouldn't usually be together. ","I would like to work on the issues with representation in tech. ",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"for me to learn about the social justice side of technology. ",Strongly agree,Strongly agree,Strongly agree,"Career in technology (or in the tech industry in general),Bachelor's degree",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,a middle-class Asian American man,driven and hard working,curious and creative,Strongly agree,Strongly agree,"It is a great introductory program to get someone into tech. ",n/a,129,,Unknown,,
2022-08-08 13:24:34,2022-08-08 13:56:57,IP Address,73.162.100.189,100,1943,True,2022-08-08 13:56:58,R_2wzCuiI83X2q2Gu,,,,,37.8371,-122.2773,anonymous,EN,HH77,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Very often,Very often,Sometimes,Fairly confident,Fairly confident,Fairly confident,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Better education ","One sociotechnical discussion that I would like to work on in the future is about health technology. ",Somewhat agree,Strongly agree,Strongly agree,Unsure or undecided,Strongly agree,Somewhat agree,Strongly agree,"To learn and use what I get for better. ",Unsure or undecided,Strongly agree,Strongly agree,"Career in technology (or in the tech industry in general),Associate's degree,Bachelor's degree,Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Unsure or undecided,Strongly agree,Strongly agree,"In terms of race, ethnicity, gender, class, socioecnomic status, and privileges I would describe myself as a person who respects other people opinion.","When I think about my identity, I would say I am happy whom I am. ","When I think about being a technologist, these are parts of my identity I think someone interviewing me for a job, internship, or bootcamp should know about me as a person who can solve problems through the technical skills I learned. ",Strongly agree,Strongly agree,"I would recommend this programs to others because it's a great start to learn about technologies and other things related to it. ",,105,,Unknown,,
2022-08-08 13:42:07,2022-08-08 14:06:10,IP Address,172.58.32.116,100,1443,True,2022-08-08 14:06:10,R_0240Um4HLStIFZD,,,,,37.6736,-122.0944,anonymous,EN,HH33,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Always,Sometimes,Always,Fairly confident,Fairly confident,Fairly confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,"Medical technology can assist doctors identify symptoms ","Not sure ",Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Unsure or undecided,"learning python ",Somewhat agree,Somewhat agree,Somewhat agree,"Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Strongly agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Somewhat agree,Unsure or undecided,Strongly agree,Strongly agree,(Unclear on what the question is asking),Just like everybody else,"My background history (Where I come from, what my journey so far was, etc)
",Strongly agree,Somewhat agree,"It offers good resources and guidance to help introduce people into the tech industry ","I feel like the SMB project was a bit overwhelming, especially for a program that is supposedly introductory.",120,,Unknown,,
2022-08-08 13:24:37,2022-08-08 14:08:11,IP Address,73.93.15.78,100,2613,True,2022-08-08 14:08:11,R_3noZaCaiIzH7vZI,,,,,37.8084,-122.2846,anonymous,EN,HH24,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Always,Very often,Very often,Fairly confident,Very confident,Fairly confident,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"access information easier ","on how to make robot and apps ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"to improve my knowledge of tech. ",Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Strongly agree,Strongly agree,Unsure or undecided,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Back or African American( Eritrean) a female student at AIMS.,"A hard worker woman ","My name is ELIM BERHE. I'm 16 and a student at AIMS. Live in Oakland, CA. I think tech is the future.",Strongly disagree,Somewhat disagree,I recommend  this program to others because it helped me come through my tech concerns and I come to see many fascinating things that can be done using tech. Understand the significance of tech in society.,,117,,Unknown,,
2022-08-08 13:24:32,2022-08-08 14:18:03,IP Address,24.6.4.143,100,3211,True,2022-08-08 14:18:04,R_3MyQLqI94zxAcPt,,,,,37.976,-122.3359,anonymous,EN,HH42,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Sometimes,Rarely,Sometimes,Slightly confident,Slightly confident,Slightly confident,Unsure or undecided,Strongly agree,Somewhat agree,Strongly agree,"increasing access to resources, whether it be through better information systems or through health care","intersection of tech and health, health informatics",Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,to gain a very basic/introductory level understanding of code,Somewhat agree,Unsure or undecided,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Tech bootcamp",Unsure or undecided,Unsure or undecided,Unsure or undecided,Somewhat agree,Strongly agree,Unsure or undecided,Somewhat agree,Somewhat agree,"asian, filipino, female, lower ses, and privileged with a college level degree",trying to be more kind to myself in learning and exploring more about the different aspects of it,i have no experience of coding whatsoever but am willing to learn and put in the work to carry out my tasks properly. I am not one to shy away from asking for help if necessary,Somewhat agree,Somewhat agree,would recommend its just the times/days aren't as accessible to most of my peers,"great program overall, I expected there to be a bit more technical skills learning but i greatly appreciated the integration of the sociotechnical learning nonetheless

i think pair programming would be better if we had our own zoom rooms, that way the TAs can allow us to go into separate rooms to discuss more one--on-one with our groups, it was difficult to really interact (which is already a given considering the virtual aspect), especially when doing any type of group activity or checking in about smb matters, since theres weekly updates, just making sure those individual zoom links are placed for each TA (one zoom link per TA)

i would also suggest changing the zoom settings to mute upon entry lol

i think it'd be cool (if there's capacity amongst staff) if there were also events outside of regular programming like a virtual ""coffee talk"" with some of the guest speakers, that was more of an informal meeting, so folks don't feel restricted by time or be intimidated by the larger group

lastly, i personally liked the last sociotechnical class, but i do think these kinds of conversations/activities are better fitted into programs/courses where these kinds of conversations are the main focus, i found that a few of my peers found the questions difficult to answer/comprehend and though we've had multiple socio-technical classes, i believe it was still largely new for folks who aren't normally in organizing/community advocacy spaces (esp for the younger folks), perhaps a more introductory activity similar to the one we had in the beginning of class discussing how tech and communities intersect, or even an activity to discuss all the sociotechnical classes we had, and breaking down each class and discussing our thoughts on how that class was or if there was any comments that were left unsaid or ideas that connected with one another.",106,,Unknown,,
2022-08-08 13:45:27,2022-08-08 14:44:13,IP Address,108.206.154.35,100,3525,True,2022-08-08 14:44:13,R_25GinV1C38Gn92R,,,,,37.9675,-122.2899,anonymous,EN,HH04,Unsure or undecided,Unsure or undecided,Somewhat agree,Somewhat agree,Unsure or undecided,Always,Rarely,Rarely,Slightly confident,Fairly confident,Slightly confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,"Technology facilitates access to necessities and allows for the sharing of ideas. It allows people to gain an awareness of others and helps all of us grow. Moreover, it strengthens our awareness and allows us to become a stronger community.",I would like to work on a sociotechnical discussion about people in the LGBTQ+ community and the ways we could use technology to support them or to educate the people and get rid of social norms.,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,somewhat successful but the result caught me off guard. I would've never guessed that things would end this way.,Somewhat agree,Somewhat agree,Somewhat agree,Bachelor's degree,Unsure or undecided,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Unsure or undecided,"multi-ethnic Asian, low-income, and a first-generation female high school student","a minority ","I think it'd be good for them to know that as I have a lot of different parts of my identity, I'd wish to work in a diverse place full of diverse people, as that's a personal preference.",Somewhat agree,Unsure or uncertain,"I feel like there'll be certain programs I'd recommend to others but it depends on my personal experiences as well as how much I think they'd benefit from the program. ",,109,,Unknown,,
2022-08-08 14:46:15,2022-08-08 15:39:53,IP Address,76.126.8.223,100,3218,True,2022-08-08 15:39:54,R_0eMXDmbJwGKGvG9,,,,,37.8371,-122.2773,anonymous,EN,HH72,Somewhat agree,Unsure or undecided,Somewhat agree,Strongly agree,Unsure or undecided,Always,Very often,Sometimes,Fairly confident,Very confident,Fairly confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,Technology can help my community by making poverty better.,Career growth and development.,Strongly agree,Somewhat agree,Somewhat agree,Unsure or undecided,Strongly agree,Strongly agree,Unsure or undecided,"to finish college ",Strongly agree,Strongly agree,Somewhat agree,"Associate's degree,Bachelor's degree",Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Strongly agree,Unsure or undecided,Strongly agree,Strongly agree,"I would describe myself as a hard working African American black woman, who is going to and have to continue to work hard for what I want in life. ","When I think about my Identity, I would say I am someone who won't give up until me and my family have everything we need in life. ","I am a hard working dedicated person who is willing to go above and beyond until the job is done. If I need to, I can be a team leader who is organized, confident and knows how to communicate with my team to get the project finished. My skills include Critical thinking, Teamwork, Professionalism , Strong work ethic, Adaptability, Detail Orientation and Leadership.",Strongly agree,Strongly agree,"I am and did in fact recommend Hack the Hood to others. Hack the Hood helps you to get a feel of tech which allows you to decide if you would like to pursue a career in tech or not, Hack the Hood also helps you further your education in tech by helping with advance classes or internships. ","In 2017, I joined Hack the Hood's Summer Bootcamp. It was in person and I felt more connected with my instructor and classmates so much so I still have them on Facebook, LinkedIn and Instagram. I can actually say we really became a Hack the Hood family. Its something about being stuck in a classroom with each other that really bring you together as a class. This was one of the reasons I rejoined hack the hood. Sadly to say I did not feel that this time. and only suggest that you guys bring back in person classes. Also bring back field trips, real hack the hood shirts that fits everyone and Hack the Hood stickers which I miss dearly lol.  ",119,,Unknown,,
2022-08-08 13:25:16,2022-08-08 18:05:51,IP Address,73.189.248.127,100,16834,True,2022-08-08 18:05:51,R_2A1eaNMaN5Cres3,,,,,37.2599,-121.9171,anonymous,EN,HH61,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Sometimes,Very often,Very confident,Very confident,Very confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,"being more connected and being able to share ideas, opinions, and ideals ",easy fun python coding projects and showing them off in a lesson,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"finishing git and learning more ",Strongly agree,Strongly agree,Strongly agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Tech bootcamp,Associate's degree,Bachelor's degree,Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,bi racial,straight male,motivated,Strongly agree,Strongly agree,very likely,none at the moment,132,,Unknown,,
2022-08-08 17:59:50,2022-08-08 18:09:19,IP Address,67.169.56.75,100,568,True,2022-08-08 18:09:19,R_eFkiv0DlYF9Ap5n,,,,,37.8487,-122.2209,anonymous,EN,HH01,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Very often,Sometimes,Very often,Fairly confident,Very confident,Fairly confident,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"It can show what areas are dangerous, provide access to resources, and keep people informed of events.",I'd like to create a personal website.,Somewhat agree,Strongly agree,Strongly agree,Unsure or undecided,Somewhat agree,Strongly agree,Somewhat agree,To increase my knowledge of technology and software.,Strongly agree,Strongly agree,Strongly agree,Career in technology (or in the tech industry in general),Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Latino male who is dedicated to his work.,A disciplined young man.,"When I'm given a task to work on, I dedicate all my time to get it done.",Strongly agree,Strongly agree,It will help them to learn something new which will give them a look into a whole section of careers.,None.,124,,Unknown,,
2022-08-08 21:54:08,2022-08-08 22:03:04,IP Address,24.130.170.109,100,535,True,2022-08-08 22:03:04,R_2Crm4UFrXtGiW5j,,,,,37.7906,-122.2412,anonymous,EN,HH52,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Always,Sometimes,Sometimes,Very confident,Very confident,Very confident,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Keeping communities connected,Really secure messaging,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,somewhat completed although we did not get to complete a site for an SMB,Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Associate's degree,Bachelor's degree",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,a Chinese guy,somewhat of a computer nerd,I like exploring different technology and problem solving,Somewhat agree,Unsure or uncertain,'- Have not done Build,,114,,Unknown,,
2022-08-08 21:50:16,2022-08-08 22:13:11,IP Address,108.228.30.227,100,1375,True,2022-08-08 22:13:12,R_3fP4O0MsBBbQLeh,,,,,37.8084,-122.2846,anonymous,EN,HH30,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Sometimes,Very often,Sometimes,Fairly confident,Fairly confident,Very confident,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Technology can help my community economically. In social change.,Creating an app to ensure that people are tracking their credit and what not.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Learning and enriching my fundamentals in Python. ",Strongly agree,Somewhat agree,Strongly agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification",Somewhat agree,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,an all around character,an asian american looking for a opportunity.,I'm an mindset oriented thinker with much to improve and learn.,Strongly agree,Strongly agree,It's an overall well planned and thought out program that introduces or builds off of your prior knowledge about tech.,N/A,117,,Unknown,,
2022-08-09 11:13:25,2022-08-09 11:28:31,IP Address,73.71.113.250,100,905,True,2022-08-09 11:28:31,R_RUh15QnRmJer44h,,,,,37.6403,-122.0667,anonymous,EN,HH23,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Very often,Sometimes,Very often,Very confident,Fairly confident,Very confident,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Technology can be used to vocalize minority voices.,"A project that gives more accurate health diagnosis ",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,To be able to use python,Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Bachelor's degree,Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,"Intersectional ",a programmer,"Laid back, adaptable, and determined",Somewhat agree,Strongly agree,It's a great program where you learn how to use python as well as explore the tech world.,,118,,Unknown,,
2022-08-08 15:38:01,2022-08-09 13:05:53,IP Address,98.51.0.41,100,77271,True,2022-08-09 13:05:53,R_1QaXMC6rfdYS12b,,,,,37.6403,-122.0667,anonymous,EN,HH86,Unsure or undecided,Somewhat agree,Somewhat agree,Somewhat agree,Unsure or undecided,Sometimes,Rarely,Rarely,Slightly confident,Not confident at all,Not confident at all,Somewhat agree,Strongly agree,Unsure or undecided,Strongly agree,making learning more interactive.,Homemade energy source.,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,Unsure or undecided,Somewhat agree,Strongly disagree,The goal I set for myself during this program was to be able to code on my own.,Somewhat agree,Strongly agree,Unsure or undecided,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Bachelor's degree",Unsure or undecided,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree," I would describe myself as African American male.","When I think about my identity, I would say I am a hard worker and very relentless.","When I think about being a technologist, these are parts of my identity I think someone interviewing me for a job, internship, or bootcamp should know about me as a person who would always try to work through obstacles no matter the circumstances.",Strongly disagree,Strongly disagree,I am more likely to recommend this program to a friend since I know they could benefit from the program.,n/a,99,,Unknown,,
2022-08-08 13:22:23,2022-08-10 11:20:40,IP Address,76.14.112.134,100,165496,True,2022-08-10 11:20:40,R_3Dcump1EvsS98kN,,,,,37.6844,-122.438,anonymous,EN,HH63,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Very often,Very confident,Very confident,Very confident,Strongly agree,Strongly agree,Strongly agree,Strongly agree,technologies can provide the necessary resources required to show our creativity that can be used to upgrade our living standards,AI,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,to be able to code without getting stuck,Somewhat agree,Strongly agree,Strongly agree,Career in technology (or in the tech industry in general),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,just another human trying to do something out of his life,a programmer,"workaholic, problem solver, helpful and gets the job done",Strongly agree,Strongly agree,"its a  good place to start and map out ones career ",very good,134,,Unknown,,
2022-08-10 11:46:58,2022-08-10 14:49:22,IP Address,12.147.77.56,100,10943,True,2022-08-10 14:49:23,R_2rMmJEKKLENjZ4U,,,,,29.998,-90.2133,anonymous,EN,HH58,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Very often,Always,Fairly confident,Very confident,Fairly confident,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"one way that I think technology can help My community is to make it a better place and more accessible for  people who do not use Tech as much. ","One sociotechnical discussion I would like to work on in the future is how technology and the apps that we use and the narratives that have been placed on people by social media. ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The goals i set for myself during this program was to get a better understanding of tech so i could teach others and expand my resources.,Strongly agree,Strongly agree,Strongly agree,Tech bootcamp,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I describe myself as an African American Female.
I describe myself as middle class and i have many privileges such as able to do what I want in the tech world if i wanted to. ","I would say I am smart, determined, funny, chill, and courageous. ","Is that i am a baby of a big family i take pride in what I do and what i want to achieve. I have goals that i am willing to complete even if it means it will take some time. ",Strongly disagree,Strongly disagree,"I will likely recommend Hustle or any Hack the Hood program because it would be a great experience for anybody. ",N/A,129,,Unknown,,
2022-08-10 16:13:51,2022-08-10 18:11:50,IP Address,76.216.2.75,100,7078,True,2022-08-10 18:11:51,R_3qPaKlYX49ebx4W,,,,,37.7652,-122.1579,anonymous,EN,HH56,Strongly Disagree,Strongly Disagree,Unsure or undecided,Somewhat agree,Somewhat disagree,Sometimes,Never,Never,Not confident at all,Not confident at all,Not confident at all,Unsure or undecided,Strongly agree,Strongly agree,Unsure or undecided,"solar panels/wind turbines ",I am not ready for that,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Unsure or undecided,Strongly disagree,increase my coding skills,Somewhat agree,Unsure or undecided,Somewhat agree,Bachelor's degree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Unsure or undecided,Somewhat agree,a normal guy,asian,I can work hard,Unsure or uncertain,Unsure or uncertain,I think people might think that all that will happen is learning how to code when it's a lot more than that.,I did not expect building a website that didn't have much to do with coding.,78,,Unknown,,
2022-08-10 20:13:15,2022-08-10 20:34:32,IP Address,201.159.115.157,100,1276,True,2022-08-10 20:34:32,R_1dvqqoPweEiGSvK,,,,,14.1033,-87.2144,anonymous,EN,HH13,Somewhat agree,Somewhat agree,Unsure or undecided,Strongly agree,Unsure or undecided,Very often,Very often,Sometimes,Fairly confident,Fairly confident,Very confident,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"Improving education. ","Making technology accessible to underprivileged communities. ",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"improve my programming skills. ",Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Tech bootcamp",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"a low income brown man seeking to pursue higher education in order to improve my current place in life but also contribute to society by helping others with the skills I continue to gather. ","a curious individual intending to expand my knowledge.  ","I am persistent, curious, and creative when solving any obstacle/problem that I encounter. ",Strongly agree,Strongly agree,"Technology is intersecting into our daily lives more, therefore is good to learn minimal information about tech, which Hack the Hood provides and much more, would could create a new path of curiosity that could eventually lead to potential career to pursue. ",N/a,125,,Unknown,,
