StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Verify,QID1_1,QID1_2,QID1_3,QID1_4,QID1_5,Programming Skills_1,Programming Skills_2,Programming Skills_3,Python_1,Python_2,Python_3,Values_1,Values_2,Values_3,SJ & Community_1,Q28,SJ & Community,Community_1,Community_2,Community_3,TA_1,TA_2,TA_3,TA_4,Goals,Career Opportunities_1,Career Opportunities_2,Career Opportunities_3,Q30,Gee_1,Gee_2,Gee_3,McAlpine_1,McAlpine_2,McAlpine_3,McAlpine_4,McAlpine_5,Crenshaw,Crenshaw,Crenshaw,Any last thoughts?_1,Any last thoughts?_2,Why recommend,Open,SC0,Goals - Parent Topics,Goals - Topics,Verify - Parent Topics,Verify - Topics
2022-08-10 11:08:00,2022-08-10 20:49:29,IP Address,76.210.139.80,100,34888,True,2022-08-10 20:49:29,R_XAJvlVuBUxc7vxv,,,,,37.9269,-122.3313,anonymous,EN," HH15",Somewhat agree,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,Always,Rarely,Sometimes,Fairly confident,Very confident,Fairly confident,Unsure or undecided,Strongly agree,Strongly agree,Somewhat agree,One way I believe I can help my community is voice their problems on various platforms to help spread awareness to not only connect with other communities that are having similar problems but to figure a way to resolve them.,"A project that I would like to work on in the future would be working on python like creating dictionaries because I honestly enjoyed making them. I would like to improve on that in the future and work more with it. ",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,The goals I set for myself during this program was to learn python and get an understanding of the foundational tech skills.,Somewhat agree,Somewhat agree,Strongly agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Tech bootcamp,Associate's degree",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,"In terms of race, ethnicity, gender, class, socioeconomic status, and privileges I would describe myself as a middle class Latina.","When I think about my identity, I would say I am independent, creative, and hardworking.","When I think about being a technologist, these are parts of my identity I think someone interviewing me for a job, internship, or bootcamp should know about me as a person: willing to learn, open-minded, my experience with technology, and organized. ",Strongly agree,Strongly agree,"I would recommend Hack the Hood program to others because I would like to help others like me that are looking for something to do in their free time and have an idea of what they would like to pursue in the future for a career. ",I would like to appreciate Clarkston for the support he gave in teaching me and the others. I did a great job at explaining and overall being a great teacher including the other instructors.,122,,Unknown,,
2022-08-10 21:59:12,2022-08-10 22:13:37,IP Address,76.21.22.246,100,865,True,2022-08-10 22:13:37,R_2X4nKXTecjB2Rcr,,,,,37.8381,-122.2609,anonymous,EN," TF-53",Strongly agree,Unsure or undecided,Unsure or undecided,Strongly agree,Strongly agree,Very often,Always,Very often,Fairly confident,Fairly confident,Very confident,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"One way that I think technology can help my community is by opening them an opportunity to access school opportunities. During the first year when the lockdown were initiated many of my classmates did not have laptops or earphones and could not attend classes. Their grades took a dip. They could not attend classes and even if they did their Wi-Fi was so bad that they would cut in and out. Access to technology is important.  ","I would like to create a free online program that teaches people how to code. ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"To get a hang of python and to learn the basics. And at the end to create a website for a customer. ",Strongly agree,Strongly agree,Strongly agree,"Tech bootcamp,Bachelor's degree",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A person provided with everything to succeed in life.,An orthodox Christian Eritrean American.,I  would like people interviewing me to know that I am an immigrant who is responsible and hard working.,Strongly agree,Strongly agree,"I would recommend hack the hood because it will teach them about python and about general tech career. ","In the future I wish we receive more support when completing our SMB websites. ",136,,Unknown,,
2022-08-10 23:14:08,2022-08-10 23:23:31,IP Address,99.42.136.38,100,562,True,2022-08-10 23:23:31,R_309as5KROFJkgua,,,,,37.9675,-122.2899,anonymous,EN,HH32,Unsure or undecided,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Rarely,Rarely,Rarely,Not confident at all,Not confident at all,Not confident at all,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"It can help educate people ","I’m not sure ",Strongly agree,Strongly agree,Strongly agree,Unsure or undecided,Somewhat agree,Strongly agree,Unsure or undecided,The goal I set for myself during this program was to learn more technical skills.,Somewhat agree,Unsure or undecided,Unsure or undecided,Career in technology (or in the tech industry in general),Somewhat agree,Unsure or undecided,Unsure or undecided,Unsure or undecided,Somewhat disagree,Somewhat disagree,Unsure or undecided,Unsure or undecided,"A Sikh woman ",A Sikh woman,I am a Sikh woman,Somewhat agree,Somewhat agree,"Good resources ","Nothing ",102,,Unknown,,
2022-08-10 23:20:03,2022-08-10 23:27:22,IP Address,73.220.93.225,100,439,True,2022-08-10 23:27:23,R_OpdZWhB4MesiraV,,,,,38.4207,-121.3623,anonymous,EN,HH51,Strongly agree,Strongly agree,Unsure or undecided,Strongly agree,Strongly agree,Sometimes,Sometimes,Rarely,Very confident,Fairly confident,Fairly confident,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Resources ","Sustainable clothing business ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Creating a smb website for myself,Strongly agree,Strongly agree,Strongly agree,Associate's degree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Biracial poor or lower middle class,"Independent ",I am interested in product management and sales immensely.,Strongly agree,Strongly agree,I already referred to a few people it is a amazing opportunity.,NA,132,,Unknown,,
2022-08-09 17:11:20,2022-08-11 00:09:11,IP Address,75.9.135.241,100,111471,True,2022-08-11 00:09:11,R_2P6DzHIyK6WlGsZ,,,,,37.7794,-122.2178,anonymous,EN,HH12,Somewhat agree,Strongly agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Rarely,Never,Sometimes,Slightly confident,Slightly confident,Not confident at all,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"Through technology, It could spread awareness within community about  current news of recent or upcoming virus. ","I would like to continue working on SMBs Project ",Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,"seeking Knowledge ",Somewhat agree,Somewhat agree,Unsure or undecided,"Associate's degree,Bachelor's degree",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,"Academic Explorer ","I am Vietnamese-American finding his passions. ","What make me different from others ",Strongly agree,Strongly agree,"I had learn coding before in my prior year of 8th grade, This program gave me memory refresh of how it was like, I recommended this program for anyone that into tech or have wide academic mindset because you might get hook or not. All it matter if you try attempt learning a new skill if it far in interested. ",,124,,Unknown,,
2022-08-08 12:42:44,2022-08-08 12:42:50,IP Address,172.58.33.31,9,5,False,2022-08-15 12:42:51,R_3MhAdFFsyvho6Ag,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 13:07:01,2022-08-08 13:07:04,IP Address,107.77.211.35,9,3,False,2022-08-15 13:07:06,R_2P5zV4o2hV03Spb,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 13:12:25,2022-08-08 13:16:51,IP Address,172.58.33.101,26,265,False,2022-08-15 13:16:53,R_1hyjHewP2c6YLLl,,,,,,,anonymous,EN,HH33,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Always,Sometimes,Always,Fairly confident,Fairly confident,Fairly confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,
2022-08-08 13:24:37,2022-08-08 13:24:47,IP Address,24.4.195.153,9,10,False,2022-08-15 13:24:49,R_1fl7NFZ9MUJeYcN,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 13:25:24,2022-08-08 13:29:56,IP Address,172.58.102.133,65,272,False,2022-08-15 13:29:57,R_DNTilN0QUcekDxD,,,,,,,anonymous,EN,HH58,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Always,Always,Always,Slightly confident,Fairly confident,Slightly confident,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,To have apps to benefit one another,An app project to make an official app that can go in the app store,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"To Get a better understanding in tech ",Strongly agree,Strongly agree,Strongly agree,"Technology- or software-related certification,Tech bootcamp",,,,,,,,,,,,,,,,91,,Unknown,,
2022-08-08 16:32:28,2022-08-08 16:32:37,IP Address,172.56.30.187,9,9,False,2022-08-15 16:32:40,R_2CvmUUaxwZk737X,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-15 16:26:08,2022-08-15 16:33:00,IP Address,24.7.69.111,100,412,True,2022-08-15 16:33:01,R_qVpjpxK7ikXYaxb,,,,,37.9145,-122.3007,anonymous,EN,HH80,Unsure or undecided,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Very often,Sometimes,Very often,Slightly confident,Fairly confident,Very confident,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,It can help bring more resources out to people in need and provide info.,"Ux designing ",Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Unsure or undecided,"To learn basic coding ",Strongly agree,Somewhat agree,Unsure or undecided,"Career in technology (or in the tech industry in general),Tech bootcamp,Bachelor's degree",Somewhat agree,Unsure or undecided,Somewhat agree,Unsure or undecided,Strongly agree,Unsure or undecided,Strongly agree,Somewhat agree,Hispanic,"A lgbt+ woman ",Detail oriented and smart,Strongly agree,Strongly agree,It’s a very good topping stone to figure out if tech is what you want to learn.,"Thanks for helping out the minorities in the Bay Area! ",114,,Unknown,,
2022-08-09 11:09:05,2022-08-09 11:09:14,IP Address,24.130.171.128,9,9,False,2022-08-16 11:09:15,R_5uNhMWUEqwRg6cN,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 13:13:20,2022-08-09 13:13:29,IP Address,24.130.171.128,9,8,False,2022-08-16 13:13:35,R_2CQxBPICYytH75J,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 14:37:05,2022-08-09 14:37:12,IP Address,73.162.100.189,9,7,False,2022-08-16 14:37:13,R_3k5tGSgnF7qR2IL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-16 14:30:46,2022-08-16 14:43:40,IP Address,96.86.150.230,100,773,True,2022-08-16 14:43:40,R_12qXB2qOIW0FhWx,,,,,38.1228,-121.2543,anonymous,EN,HH51,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Very often,Very often,Very often,Very confident,Very confident,Very confident,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Resources,Help kids in foreign countries,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"network ",Strongly agree,Strongly agree,Strongly agree,Career in technology (or in the tech industry in general),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,biracial woman,poc,When in an interview I would like to be a prospective candidate for the tech field.,Strongly disagree,Strongly disagree,Hustle is a great program integrating youth into tech.,I would love to work for hack the hood soon. I CAN OFFER MY SKILL SET AS A YOUTH PRESENTOR.,126,,Unknown,,
2022-08-15 13:47:29,2022-08-16 16:07:02,IP Address,99.45.115.133,100,94772,True,2022-08-16 16:07:03,R_305XBxuJ8eoyV5a,,,,,37.7585,-122.1856,anonymous,EN,HH71,Somewhat agree,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Very often,Slightly confident,Slightly confident,Slightly confident,Unsure or undecided,Somewhat agree,Somewhat agree,Strongly agree,Technology that help in everyday life,Im not sure yet,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Unsure or undecided,Complete the course,Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Strongly agree,Strongly agree,Unsure or undecided,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,A person who feels like he belongs and feels safe,Positive about it,"This identity is important to me cuz thats what make me, me",Strongly agree,Somewhat agree,Its a good program and give great support,I have none,119,,Unknown,,
2022-08-09 17:12:38,2022-08-09 17:12:43,IP Address,172.58.99.53,9,4,False,2022-08-16 17:12:44,R_UDDRWOthBBz42lP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 17:13:12,2022-08-09 17:26:51,IP Address,73.252.238.164,26,819,False,2022-08-16 17:26:53,R_BrMBC4Di6ri9zB7,,,,,,,anonymous,EN,HH03,Somewhat agree,Unsure or undecided,Somewhat agree,Strongly agree,Somewhat agree,Very often,Very often,Very often,Fairly confident,Fairly confident,Fairly confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
2022-08-09 18:18:09,2022-08-09 18:26:35,IP Address,104.58.207.243,13,506,False,2022-08-16 18:26:39,R_3iCpALPvykDNAZz,,,,,,,anonymous,EN,HH57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-09 18:17:57,2022-08-09 18:26:52,Spam,104.58.207.243,13,535,False,2022-08-16 18:26:53,R_22SwOqP3XmFwTtV,,,,,,,anonymous,EN,HH57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 11:08:56,2022-08-10 11:09:38,IP Address,73.93.15.78,9,42,False,2022-08-17 11:09:41,R_OEhWKXqlvHLVZHr,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 11:23:06,2022-08-10 11:23:12,IP Address,76.14.112.134,9,5,False,2022-08-17 11:23:13,R_3n7ZoDFFqQAwD20,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
