StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Verify,QID1_1,QID1_2,QID1_3,QID1_4,QID1_5,Programming Skills_1,Programming Skills_2,Programming Skills_3,Python_1,Python_2,Python_3,Values_1,Values_2,Values_3,SJ & Community_1,Q28,SJ & Community,Community_1,Community_2,Community_3,TA_1,TA_2,TA_3,TA_4,Goals,Career Opportunities_1,Career Opportunities_2,Career Opportunities_3,Q30,Gee_1,Gee_2,Gee_3,McAlpine_1,McAlpine_2,McAlpine_3,McAlpine_4,McAlpine_5,Crenshaw,Crenshaw,Crenshaw,Any last thoughts?_1,Any last thoughts?_2,Why recommend,Open,SC0,Goals - Parent Topics,Goals - Topics,Verify - Parent Topics,Verify - Topics
2022-08-17 21:56:40,2022-08-17 22:06:06,IP Address,76.21.22.246,100,565,True,2022-08-17 22:06:07,R_2bTAbYrxy2uIK9C,,,,,37.8381,-122.2609,anonymous,EN,TF-53,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Very often,Always,Very often,Fairly confident,Fairly confident,Very confident,Strongly agree,Strongly agree,Strongly agree,Strongly agree,One way that I think technology will help my community by giving them more opportunities and opening more employment chances. If they have access to technology and have the know how they can register for online classes to take in their busy work schedule.,I would like to start a free program that teaches people how to code from scratch.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To get the hang of python and to design a functioning website for someone.,Strongly agree,Strongly agree,Strongly agree,"Career in technology (or in the tech industry in general),Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,An Eritrean male immigrant.,An orthodox Eritrean American.,"I would like the person to know that I am a hard working immigrant that witnessed and experienced just how transformative technology and tech know-how can be first hand. And that everyday I try to learn and improve my technical abilities. ",Strongly agree,Strongly agree,I would recommend it to them because it will teach them about python and give them a general idea about the societal value that technology have.,"Thank you for everything. It was an amazing experience. ",137,,Unknown,,
2022-08-11 00:24:03,2022-08-11 00:26:07,IP Address,75.9.135.241,13,123,False,2022-08-18 00:26:08,R_2WB7cw0etRlQ8AQ,,,,,,,anonymous,EN,HH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-17 08:17:10,2022-08-18 16:15:42,IP Address,75.9.135.241,100,115112,True,2022-08-18 16:15:43,R_2DS4cp9nAVN0p5F,,,,,37.7794,-122.2178,anonymous,EN,HH12,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Rarely,Sometimes,Sometimes,Slightly confident,Not confident at all,Not confident at all,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,"Promote Or Advertised more food banks towards low income neighborhoods ","Help Local Community Website ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Develop a new skill,Somewhat agree,Somewhat agree,Unsure or undecided,Associate's degree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Unsure or undecided,Strongly agree,Academic explorers,"Vietnamese-American ",Fun and willing to put all my energy into any line of work,Unsure or uncertain,Somewhat agree,I recommend to others because they could further explore there academic .,Nope,117,,Unknown,,
2022-08-17 20:28:40,2022-08-18 16:19:16,IP Address,172.58.36.48,100,71435,True,2022-08-18 16:19:16,R_ZxegRTySQ0CT3nX,,,,,38.5879,-121.4053,anonymous,EN,HH51,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Slightly confident,Slightly confident,Slightly confident,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Resume ","Resources ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Complete a website ",Strongly agree,Strongly agree,Strongly agree,Career in technology (or in the tech industry in general),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Biracial woman ","A woman of color ","I am a creative ",Strongly agree,Strongly agree,"It is an amazing program ",NA,143,,Unknown,,
2022-08-18 15:37:04,2022-08-18 16:28:39,IP Address,107.127.18.6,100,3094,True,2022-08-18 16:28:39,R_2RRoxqawiBr0eK5,,,,,38.4799,-121.4451,anonymous,EN,352113,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Very often,Slightly confident,Fairly confident,Slightly confident,Unsure or undecided,Strongly agree,Somewhat agree,Somewhat agree,"Google for research ",I don’t have anything in mind,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The goal I set for myself during this program was to finish and get a understanding of coding,Somewhat agree,Strongly agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification",Strongly agree,Strongly agree,Somewhat agree,Unsure or undecided,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"I would describe myself as a African American girl that’s in 12th grade and I learned a lot of techniques from hack the hood ",Idk,Idk,Strongly agree,Strongly agree,"Yes I would definitely recommend this program to anyone who wants to learn code and technology ",,126,,Unknown,,
2022-08-18 15:48:51,2022-08-18 16:42:39,IP Address,98.51.227.60,100,3228,True,2022-08-18 16:42:39,R_3ISSzIKwgeituTz,,,,,37.6868,-122.1496,anonymous,EN,HH00,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Unsure or undecided,Very often,Sometimes,Sometimes,Fairly confident,Slightly confident,Slightly confident,Unsure or undecided,Somewhat agree,Somewhat disagree,Strongly agree,Technology does not always need to be super complex. Apps like Uber Eats are efficient at transporting food and is easily accessible. This helps for when you can’t go out to eat due to different circumstances.,How we can coexist with technology to improve our work efficiency instead of replacing all of our jobs; or how technology may also be useful at creating new jobs as well.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Unsure or undecided,to advance my knowledge in coding and introduce myself to a new world to see if it was for me.,Somewhat agree,Unsure or undecided,Somewhat agree,"Associate's degree,Bachelor's degree",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Unsure or undecided,in a position to have great potential to succeed.,still finding more about myself each day. Who I want to be and how I can be that person.,"I am workable, level-headed, and versatile in respect to other people.",Somewhat agree,Somewhat agree,"Hack the Hood is a good place to learn more about modern day sociotechnical problems. It introduces skills like independence and has an overall welcoming team. ",,108,,Unknown,,
2022-08-18 16:02:14,2022-08-18 17:37:37,IP Address,67.169.95.195,100,5723,True,2022-08-18 17:37:38,R_3eknf62LMOLvCXO,,,,,37.3859,-122.0882,anonymous,EN,HH66,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Always,Always,Always,Fairly confident,Fairly confident,Fairly confident,Unsure or undecided,Somewhat agree,Somewhat agree,Strongly agree,Opening peoples perspectives on any problems by using technology to share ideas,Global problems that we face everyday,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,getting out of my comfort zone and reaching out for help,Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Bachelor's degree,Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Cordial,latina,I am cordial and extremely cooperative while taking initiative.,Strongly agree,Strongly agree,I would recommend this program because it has a great atmosphere for learning about coding and it gives you a good point of view on technology.,,121,,Unknown,,
2022-08-08 13:27:18,2022-08-11 18:32:13,IP Address,73.162.100.140,65,277494,False,2022-08-18 18:32:14,R_2fjFWkN8PcWQ8RL,,,,,,,anonymous,EN,HH68,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Unsure or undecided,Very often,Sometimes,Very often,Slightly confident,Slightly confident,Fairly confident,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,One was that I think technology can help my community is better opportunities for learning such as education.,One sociotechnical discussion project that I would like to work on in the future might be social media which is Snapchat for sure.,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"The goal I set for myself during this program was to improve my self and skills. ",Unsure or undecided,Unsure or undecided,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification",,,,,,,,,,,,,,,,81,,Unknown,,
2022-08-18 18:27:02,2022-08-18 18:41:30,IP Address,67.169.56.75,100,868,True,2022-08-18 18:41:30,R_uwu2veTVvghjg2d,,,,,37.8487,-122.2209,anonymous,EN,HH01,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Sometimes,Sometimes,Sometimes,Fairly confident,Fairly confident,Fairly confident,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Show crime rates around the area and to warn people to avoid those areas.,On my own website or even a small business online.,Strongly agree,Strongly agree,Strongly agree,Unsure or undecided,Strongly agree,Strongly agree,Unsure or undecided,To learn more about coding and tech in general.,Strongly agree,Strongly agree,Strongly agree,Career in technology (or in the tech industry in general),Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,Strongly agree,hard working young Latino male.,a disciplined Latino.,Will work on any given task.,Strongly agree,Strongly agree,I would recommend it because it will get you started into coding if you didn't really know much about it before.,None,123,,Unknown,,
2022-08-18 19:43:56,2022-08-18 20:06:52,IP Address,73.162.100.140,100,1375,True,2022-08-18 20:06:52,R_WCLwX9pJoWysWcN,,,,,37.8371,-122.2773,anonymous,EN,HH68,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Very often,Very often,Always,Slightly confident,Fairly confident,Very confident,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"Technology can help my community by giving power and voices to people. ","One project I want to work on in the future is insta gram social media to make it more easier to use because I found it hard to go through something easily. ",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"The goal I set for my self during this program was to improve my self in coding websites. ",Strongly agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Beyond bachelor's degree (such as master's, Ph.D, or other graduate-level)",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"In terms of race, ethnicity, gender, class, socioeconomic status, and privileges I would describe myself as a Habesha , Tigrinya , female, junior(11th), Instagram fan, and future technologist  person. ","When I think about my identity, I would say I am a habesha, and Christian girl.  ","When I think about being a technologist, these are parts of my identity I think someone interviewing me for a job, internship, or boot camp should know about me as a person that I can adopt easily to any tech related mostly to coding and designing. ",Strongly agree,Strongly agree,"I recommend hustle to others because it improve your skills and gives you a way of a career you want. ",,131,,Unknown,,
2022-08-11 13:03:57,2022-08-18 20:09:04,IP Address,192.184.245.196,100,630307,True,2022-08-18 20:09:04,R_1MPSOQam5Uu32GN,,,,,37.7794,-122.2178,anonymous,EN,HH50,Somewhat agree,Somewhat agree,Somewhat agree,Unsure or undecided,Somewhat agree,Sometimes,Rarely,Sometimes,Fairly confident,Fairly confident,Fairly confident,Unsure or undecided,Unsure or undecided,Unsure or undecided,Strongly agree,It can help make things more accessible and safer.,N/A,Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Unsure or undecided,Unsure or undecided,Somewhat agree,met.,Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Associate's degree,Bachelor's degree",Somewhat agree,Unsure or undecided,Unsure or undecided,Unsure or undecided,Somewhat agree,Unsure or undecided,Somewhat agree,Unsure or undecided,a person of color with somewhat fair amount of resources.,a mix of many factors.,"have a passion in technology and advancement in society, have used technology ever since I was a toddler, have taken coding classes before, etc.",Somewhat agree,Somewhat agree,It teaches about how technology is used everyday and how it can be used for the greater good of the society. You also learn python and how the tech field works.,,100,,Unknown,,
2022-08-18 17:04:49,2022-08-18 17:12:49,IP Address,192.184.244.7,26,480,False,2022-08-25 17:12:57,R_5cZDpNQKYlKdHNv,,,,,,,anonymous,EN,HH82,Somewhat agree,Unsure or undecided,Strongly agree,Somewhat agree,Strongly agree,Very often,Sometimes,Very often,Very confident,Fairly confident,Fairly confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,
2022-08-16 15:23:35,2022-08-18 17:23:30,IP Address,12.133.157.2,13,179995,False,2022-08-25 17:23:36,R_3HNxOPBAbr0m7qY,,,,,,,anonymous,EN,HH77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-16 13:19:29,2022-08-18 17:55:39,IP Address,172.225.89.111,65,189369,False,2022-08-25 17:55:39,R_OuRZMAWqMT7yBLb,,,,,,,anonymous,EN,HH41,Strongly agree,Unsure or undecided,Somewhat agree,Somewhat disagree,Strongly agree,Always,Sometimes,Rarely,Slightly confident,Slightly confident,Very confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,I want to make a game that goes over a lot of what P.O.C have to go through. I think this could benefit my community.,A project like what I mentioned above?,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,to build my tech skillset.,Strongly agree,Strongly agree,Strongly agree,"Career in technology (or in the tech industry in general),Tech bootcamp,Bachelor's degree",,,,,,,,,,,,,,,,79,,,,
2022-08-18 18:02:48,2022-08-18 18:20:11,IP Address,76.210.139.80,13,1042,False,2022-08-25 18:20:16,R_3KTItXQ2AkLxlu2,,,,,,,anonymous,EN," HH15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 18:30:59,2022-08-18 18:31:17,IP Address,76.21.22.246,13,18,False,2022-08-25 18:31:19,R_2ardg5yrumEHXhR,,,,,,,anonymous,EN,HH33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-16 14:33:39,2022-08-18 21:55:20,IP Address,108.228.30.227,26,199301,False,2022-08-25 21:55:21,R_2zdO8iqgqbxTtfp,,,,,,,anonymous,EN,HH30,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Very often,Very often,Very often,Fairly confident,Fairly confident,Fairly confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,
2022-08-18 15:36:22,2022-08-19 00:28:07,IP Address,67.180.7.94,43,31904,False,2022-08-26 00:28:10,R_3hG5ik7xcRqGft3,,,,,,,anonymous,EN,Cereza Wu,Somewhat agree,Unsure or undecided,Somewhat agree,Somewhat agree,Unsure or undecided,Sometimes,Very often,Sometimes,Fairly confident,Very confident,Slightly confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,I think one of the most basic benefits of technology to my community would be the opportunities that come with it for anyone willing to work with technology.,I want to design and code my own video game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
